jam,hari,arus1,arus2,arus3,arus4
0,senin_kamis,0,0,0,0
2,senin_kamis,117.2246504,70.4987408,167.6394476,31.9703592
4,senin_kamis,98.370336,24.592584,88.123426,31.1506064
7,senin_kamis,94.6814484,38.5283816,88.123426,57.382696
10,senin_kamis,89.7629316,31.5604828,86.074044,68.0394824
12,senin_kamis,76.2370104,34.4296176,81.5654036,90.172808
14,senin_kamis,143.45674,55.333314,168.049324,75.2123194
16,senin_kamis,0,0,0,0
0,jumat,0,0,0,0
2,jumat,117.2246504,70.4987408,167.6394476,31.9703592
4,jumat,91.4024372,50.8246736,111.8962572,54.5135612
6.5,jumat,84.024662,35.2493704,94.6814484,71.3184936
10,jumat,79.925898,28.2814716,89.3530552,39.3481344
12,jumat,79.925898,22.1333256,82.3851564,41.8073928
14,jumat,81.97528,53.283932,94.271572,43.037022
16,jumat,0,0,0,0
0,sabtu,0,0,0,0
2,sabtu,94.271572,19.469129,116.814774,24.592584
4,sabtu,70.9086172,32.790112,96.320954,35.6592468
7,sabtu,96.7308304,32.3802356,102.8789764,51.23455
10,sabtu,77.0567632,31.1506064,77.876516,52.8740556
12,sabtu,84.8444148,11.4765392,73.3678756,42.2172692
14,sabtu,95.9110776,31.5604828,89.7629316,38.5283816
16,sabtu,0,0,0,0
0,minggu,0,0,0,0
2,minggu,45.9061568,34.4296176,82.3851564,28.2814716
4,minggu,69.678988,29.1012244,91.4024372,39.3481344
7,minggu,101.2394708,27.8715952,87.7135496,42.2172692
10,minggu,104.1086056,20.49382,83.6147856,53.6938084
12,minggu,88.123426,25.4123368,91.4024372,50.4147972
14,minggu,96.7308304,24.592584,82.3851564,40.98764
16,minggu,0,0,0,0
